Hero_ID,Ban_Rate,Pick_Rate,Base_Win_Rate,Early_Power,Mid_Power,Late_Power,Peak_Time,Data_Timestamp
131,0.6193,0.0085,0.5012,0.660,0.551,0.487,8,2026-01-12
130,0.0512,0.0069,0.5109,0.660,0.557,0.552,6,2026-01-12
129,0.0578,0.0116,0.5129,0.569,0.527,0.532,8,2026-01-12
128,0.0440,0.0040,0.4663,0.546,0.488,0.512,16,2026-01-12
127,0.0156,0.0045,0.4990,0.433,0.513,0.508,16,2026-01-12
126,0.0060,0.0032,0.4935,0.729,0.546,0.475,6,2026-01-12
125,0.0119,0.0024,0.5099,0.661,0.565,0.528,10,2026-01-12
124,0.0369,0.0005,0.4646,0.541,0.510,0.554,8,2026-01-12
123,0.0598,0.0070,0.4834,0.513,0.496,0.516,18,2026-01-12
122,0.0048,0.0037,0.4966,0.663,0.538,0.492,12,2026-01-12
121,0.1734,0.0146,0.5298,0.698,0.620,0.515,8,2026-01-12
120,0.0211,0.0054,0.4843,0.674,0.529,0.478,6,2026-01-12
119,0.0026,0.0045,0.4775,0.406,0.443,0.513,20,2026-01-12
118,0.0253,0.0036,0.4972,0.607,0.507,0.519,6,2026-01-12
117,0.1983,0.0074,0.5194,0.569,0.585,0.546,6,2026-01-12
116,0.0399,0.0094,0.5064,0.642,0.529,0.491,6,2026-01-12
115,0.0047,0.0085,0.5050,0.677,0.546,0.537,8,2026-01-12
114,0.0095,0.0053,0.5293,0.474,0.539,0.552,14,2026-01-12
113,0.0438,0.0070,0.4890,0.398,0.479,0.531,18,2026-01-12
112,0.1798,0.0086,0.5234,0.555,0.570,0.511,16,2026-01-12
111,0.0010,0.0022,0.5181,0.441,0.522,0.547,18,2026-01-12
110,0.0018,0.0016,0.4246,0.563,0.482,0.474,8,2026-01-12
109,0.4581,0.0116,0.5357,0.657,0.554,0.518,12,2026-01-12
108,0.0019,0.0018,0.5252,0.513,0.552,0.525,10,2026-01-12
107,0.0065,0.0036,0.5072,0.625,0.504,0.508,6,2026-01-12
106,0.0170,0.0045,0.4978,0.469,0.542,0.534,16,2026-01-12
105,0.0027,0.0051,0.4984,0.514,0.521,0.517,6,2026-01-12
104,0.8025,0.0055,0.5657,0.663,0.614,0.608,6,2026-01-12
103,0.0046,0.0039,0.4748,0.629,0.540,0.501,14,2026-01-12
102,0.0093,0.0016,0.4523,0.654,0.483,0.491,6,2026-01-12
101,0.0028,0.0018,0.5159,0.690,0.561,0.503,8,2026-01-12
100,0.0043,0.0043,0.5167,0.698,0.606,0.486,6,2026-01-12
99,0.0012,0.0012,0.4863,0.583,0.535,0.501,10,2026-01-12
98,0.0033,0.0027,0.5258,0.612,0.549,0.544,20,2026-01-12
97,0.0099,0.0068,0.5263,0.591,0.545,0.534,20,2026-01-12
96,0.0013,0.0023,0.4885,0.693,0.476,0.527,8,2026-01-12
95,0.1072,0.0119,0.5118,0.623,0.558,0.534,16,2026-01-12
94,0.0035,0.0030,0.5343,0.673,0.554,0.520,6,2026-01-12
93,0.0318,0.0046,0.5189,0.654,0.571,0.557,14,2026-01-12
92,0.0155,0.0052,0.5208,0.479,0.525,0.537,8,2026-01-12
91,0.0053,0.0109,0.5109,0.528,0.528,0.533,16,2026-01-12
90,0.0153,0.0112,0.5294,0.593,0.605,0.528,10,2026-01-12
89,0.0108,0.0022,0.4822,0.553,0.510,0.544,18,2026-01-12
88,0.0029,0.0009,0.5640,0.529,0.586,0.632,8,2026-01-12
87,0.0028,0.0014,0.4982,0.601,0.554,0.517,8,2026-01-12
86,0.0103,0.0074,0.5076,0.621,0.530,0.494,8,2026-01-12
85,0.0056,0.0085,0.4430,0.463,0.462,0.462,6,2026-01-12
84,0.0042,0.0030,0.4755,0.488,0.459,0.548,20,2026-01-12
83,0.0967,0.0095,0.5037,0.647,0.542,0.529,6,2026-01-12
82,0.0035,0.0036,0.5075,0.584,0.555,0.523,6,2026-01-12
81,0.0140,0.0064,0.4514,0.539,0.484,0.488,10,2026-01-12
80,0.0420,0.0104,0.5152,0.649,0.547,0.514,6,2026-01-12
79,0.1162,0.0265,0.4213,0.672,0.475,0.446,6,2026-01-12
78,0.0200,0.0025,0.5171,0.445,0.543,0.556,18,2026-01-12
77,0.0195,0.0110,0.5088,0.537,0.518,0.513,8,2026-01-12
76,0.0062,0.0012,0.5141,0.463,0.537,0.553,14,2026-01-12
75,0.0520,0.0098,0.5328,0.725,0.596,0.543,6,2026-01-12
74,0.0290,0.0060,0.5258,0.538,0.588,0.543,8,2026-01-12
73,0.0009,0.0017,0.4614,0.585,0.493,0.496,20,2026-01-12
72,0.0661,0.0126,0.5003,0.606,0.516,0.509,6,2026-01-12
71,0.0094,0.0088,0.4829,0.668,0.519,0.492,10,2026-01-12
70,0.0735,0.0099,0.5112,0.387,0.499,0.542,20,2026-01-12
69,0.0276,0.0032,0.5272,0.555,0.538,0.560,18,2026-01-12
68,0.0041,0.0042,0.5011,0.650,0.483,0.510,8,2026-01-12
67,0.1763,0.0073,0.5320,0.576,0.588,0.505,6,2026-01-12
66,0.0027,0.0054,0.5024,0.527,0.475,0.541,18,2026-01-12
65,0.0214,0.0170,0.5135,0.623,0.526,0.508,6,2026-01-12
64,0.0050,0.0043,0.4983,0.487,0.489,0.571,12,2026-01-12
63,0.0148,0.0061,0.4637,0.435,0.465,0.504,20,2026-01-12
62,0.0062,0.0018,0.5432,0.708,0.593,0.532,8,2026-01-12
61,0.0113,0.0097,0.4973,0.670,0.513,0.522,6,2026-01-12
60,0.0366,0.0270,0.5407,0.434,0.537,0.503,16,2026-01-12
59,0.0125,0.0045,0.5082,0.594,0.555,0.523,6,2026-01-12
58,0.0061,0.0066,0.4709,0.547,0.502,0.472,8,2026-01-12
57,0.0097,0.0073,0.5074,0.540,0.516,0.521,8,2026-01-12
56,0.0980,0.0175,0.5054,0.690,0.511,0.521,6,2026-01-12
55,0.2450,0.0172,0.4994,0.540,0.552,0.528,6,2026-01-12
54,0.0037,0.0045,0.4855,0.573,0.534,0.519,6,2026-01-12
53,0.0474,0.0175,0.4840,0.574,0.480,0.542,8,2026-01-12
52,0.0082,0.0090,0.4899,0.635,0.496,0.495,6,2026-01-12
51,0.3363,0.0097,0.5109,0.592,0.532,0.515,8,2026-01-12
50,0.0033,0.0026,0.4916,0.474,0.477,0.509,20,2026-01-12
49,0.0088,0.0045,0.4917,0.447,0.499,0.548,16,2026-01-12
48,0.2977,0.0024,0.5454,0.645,0.608,0.540,8,2026-01-12
47,0.2383,0.0140,0.4359,0.505,0.400,0.489,6,2026-01-12
46,0.0052,0.0075,0.5105,0.500,0.556,0.556,10,2026-01-12
45,0.0200,0.0037,0.5285,0.401,0.511,0.596,6,2026-01-12
44,0.0814,0.0062,0.4861,0.501,0.519,0.522,16,2026-01-12
43,0.0082,0.0060,0.5323,0.591,0.558,0.534,10,2026-01-12
42,0.0357,0.0092,0.4786,0.534,0.508,0.502,8,2026-01-12
41,0.0097,0.0112,0.4745,0.538,0.470,0.492,6,2026-01-12
40,0.0126,0.0090,0.5303,0.631,0.546,0.550,6,2026-01-12
39,0.0019,0.0039,0.5089,0.507,0.521,0.516,10,2026-01-12
38,0.0160,0.0189,0.5066,0.554,0.570,0.491,8,2026-01-12
37,0.0865,0.0100,0.4937,0.738,0.552,0.485,6,2026-01-12
36,0.0026,0.0044,0.4860,0.573,0.486,0.531,18,2026-01-12
35,0.1559,0.0098,0.5250,0.595,0.560,0.564,6,2026-01-12
34,0.2975,0.0067,0.5355,0.681,0.622,0.485,10,2026-01-12
33,0.0615,0.0207,0.5083,0.467,0.491,0.504,16,2026-01-12
32,0.0336,0.0093,0.5008,0.461,0.498,0.544,8,2026-01-12
31,0.0028,0.0064,0.5010,0.522,0.531,0.540,18,2026-01-12
30,0.3451,0.0132,0.5111,0.772,0.544,0.489,6,2026-01-12
29,0.0087,0.0064,0.5304,0.561,0.587,0.533,8,2026-01-12
28,0.0152,0.0166,0.4841,0.492,0.494,0.497,6,2026-01-12
27,0.1115,0.0179,0.5392,0.539,0.572,0.582,18,2026-01-12
26,0.0245,0.0092,0.4520,0.493,0.488,0.496,18,2026-01-12
25,0.0106,0.0063,0.5117,0.601,0.533,0.542,10,2026-01-12
24,0.0213,0.0034,0.5192,0.582,0.517,0.576,14,2026-01-12
23,0.0031,0.0052,0.5247,0.482,0.562,0.539,18,2026-01-12
22,0.0783,0.0088,0.5231,0.648,0.582,0.502,8,2026-01-12
21,0.2651,0.0114,0.4935,0.634,0.524,0.504,8,2026-01-12
20,0.0222,0.0016,0.5684,0.663,0.614,0.570,6,2026-01-12
19,0.0930,0.0058,0.5365,0.585,0.576,0.567,18,2026-01-12
18,0.0139,0.0122,0.4778,0.426,0.487,0.525,14,2026-01-12
17,0.0585,0.0066,0.4388,0.511,0.428,0.494,6,2026-01-12
16,0.0081,0.0100,0.4727,0.448,0.480,0.482,20,2026-01-12
15,0.0209,0.0063,0.4892,0.436,0.491,0.533,14,2026-01-12
14,0.0488,0.0041,0.5293,0.504,0.574,0.562,14,2026-01-12
13,0.0111,0.0089,0.5121,0.586,0.534,0.500,8,2026-01-12
12,0.0011,0.0020,0.5008,0.582,0.534,0.522,16,2026-01-12
11,0.0041,0.0039,0.5159,0.636,0.550,0.505,8,2026-01-12
10,0.1072,0.0189,0.4688,0.532,0.502,0.500,6,2026-01-12
9,0.0108,0.0044,0.5043,0.536,0.569,0.542,14,2026-01-12
8,0.0194,0.0050,0.4632,0.491,0.441,0.520,8,2026-01-12
7,0.0311,0.0087,0.5055,0.499,0.503,0.538,6,2026-01-12
6,0.0656,0.0198,0.4739,0.500,0.491,0.508,6,2026-01-12
5,0.0449,0.0155,0.4773,0.395,0.425,0.464,20,2026-01-12
4,0.2712,0.0079,0.5051,0.514,0.524,0.564,18,2026-01-12
3,0.2653,0.0108,0.5047,0.512,0.559,0.534,16,2026-01-12
2,0.0032,0.0046,0.4331,0.322,0.446,0.512,18,2026-01-12
1,0.0216,0.0209,0.5000,0.575,0.504,0.542,6,2026-01-12
